"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5"
"WYQVAPGDARQUBT-ZKFJACKJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"LPYUENQFPVNPHY-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"LBSJJNAMGVDGCU-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives"
"SVURIXNDRWRAFU-OGMFBOKVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Cedrane and isocedrane sesquiterpenoids"
"AVFIYMSJDDGDBQ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Xanthanolides"
"ZMELGIPFIBWPHX-GMLQCYRESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides"
"QYINOGPWFQBOJX-MDZDMXLPSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives"
"DUMQPTRUYCCSEZ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzyl alcohols","Benzyl alcohols"
"VBBXZFLAYWAXSK-HYJCDKNOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"GXBAKQFLYWSOJH-YTXTXJHMSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives"
"FOWZPEXPOVXJSN-MIYBPCGNSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides"
"XMJAJFVLHDIEHF-CRBRZBHVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Diterpene lactones"
"SFLMUHDGSQZDOW-FAOXUISGSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"IOSXSVZRTUWBHC-LBTVDEKVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Quassinoids"
"KJVWRZGLXRPUHV-FSBSVGJXSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Germacranolides and derivatives"
"LDBMLOLBWUOZGG-DOFVRBEMSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides"
"IEBFEMIXXHIISM-RJSCAXEBSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides"
"OVSQVDMCBVZWGM-DTGCRPNFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-3-O-glycosides"
"PVPDIJGSCANSAG-SRJJTFDTSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Curcuminoids"
"URTXXFGOVQACIC-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
